Institution Index,Institution,Last Name,Mid Name,First Name,Ph.D. Graduation Year,Ph.D. Graduate School,Research Interest,H-index,Citations,Publications,Publications Divided by Co-authors,Remarks,Collector,,,,,,,
552,Zhejiang University,Bao,,Hujun,1993,Zhejiang University,"Computer graphics,Computer vision",47,7453,58,12.2,h-index and citations originate from semantic scholar,Haici Jin,,,,,,,
552,Zhejiang University,Bu,,Jiajun,2000,Zhejiang University,"Artificial intelligence,The Web & information retrieval",58,12004,34,6.1,,Haici Jin,,,,,,,
552,Zhejiang University,Cai,,Deng,2009,University of Illinois at Urbana-Champaign,Artificial intelligence,63,23436,95,23.2,,Haici Jin,,,,,,,
552,Zhejiang University,Chen,,Wenzhi,,,Computer security,14,570,2,0.4,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Chen,,Deren,,,Software engineering,13,587,1,0.2,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Chen,,Gang,1998,Zhejiang University,Databases,,,35,6.2,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Chen,,Wei,2002,Zhejiang University,Visualization,35,4219,25,4.1,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Chen,,Ling,2004,Zhejiang University,"Human-computer interaction,Artificial intelligence",22,2055,8,1.9,suffix 0001,Yutao Feng,,,,,,,
552,Zhejiang University,Chen,,Xiang,2012,Zhejiang University,Computer graphics,11,705,2,0.4,suffix 0001,Xingqiao Li,,,,,,,
552,Zhejiang University,Chen,,Chun,1990,Zhejiang University,"Artificial intelligence,The Web & information retrieval,Computer vision",57,13462,31,5.9,"suffix 0001,h-index and citations originate from semantic scholar",Haici Jin,,,,,,,
552,Zhejiang University,Chen,,Ke,2007,Zhejiang University,The Web & information retrieval,18,1324,10,2,"suffix 0005,h-index and citations originate from semantic scholar",Yutao Feng,,,,,,,
552,Zhejiang University,Chen,,Huajun,2004,Zhejiang University,"Natural language processing,Artificial intelligence",25,2184,11,1.8,,Yutao Feng,,,,,,,
552,Zhejiang University,Dong,,Wei,2010,Zhejiang University,"Mobile computing,Human-computer interaction,Embedded & real-time systems",10,496,7,1.5,suffix 0001,Yutao Feng,,,,,,,
552,Zhejiang University,Fei,,Wu,2002,Zhejiang University,Artificial intelligence,34,4629,32,6,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Gao,,Yunjun,2008,Zhejiang University,Databases,3,27,10,2.2,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Gao,,Yi,2014,Zhejiang University,Mobile computing,14,892,5,0.9,,Yutao Feng,,,,,,,
552,Zhejiang University,Geng,,Weidong,1995,Zhejiang University,Computer vision,13,810,3,0.6,,Xingqiao Li,,,,,,,
552,Zhejiang University,Gu,,Zonghua,2004,University of Michigan,Embedded & real-time systems,28,2393,10,2.8,,Yutao Feng,,,,,,,
552,Zhejiang University,Han,,Jinsong,2007,The Hong Kong University of Science and Technology,"Mobile computing,Human-computer interaction",22,1629,9,1.3,,Yutao Feng,,,,,,,
552,Zhejiang University,He,,Qinming,,,Computer security,14,630,1,0.2,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,He,,Xiaofei,2005,University of Chicago,Artificial intelligence,66,40564,70,16.4,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Hou,,Qiming,2010,Tsinghua University,Computer graphics,16,1372,9,2.7,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Huang,,Jin,2008,Zhejiang University,Computer graphics,19,1997,14,2.8,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Ji,,Shouling,2015,Georgia Institute of Technology,Computer security,29,2390,17,3.3,two Ph.D.degrees,Haici Jin,,,,,,,
552,Zhejiang University,Jiang,,Xiaohong,,,Operating systems,27,3640,1,0.1,Can't find PhD graduate info,Xingqiao Li,,,,,,,
552,Zhejiang University,Jiang,,Dawei,2008,Southeast University,Databases,12,1443,4,0.8,Ph.D. Graduate School not in list,Xingqiao Li,,,,,,,
552,Zhejiang University,Jin,,Xiaogang,1995,Zhejiang University,"Computer graphics,Robotics",30,3399,6,1,suffix 0001,Yutao Feng,,,,,,,
552,Zhejiang University,Li,,Xi,2009,Chinese Academy of Sciences,"Computer vision,Artificial intelligence",36,5217,26,5.5,suffix 0001,Haici Jin,,,,,,,
552,Zhejiang University,Li,,Shijian,2006,Zhejiang University,Human-computer interaction,31,4316,6,1.3,,Yutao Feng,,,,,,,
552,Zhejiang University,Liao,,Zicheng,2014,University of Illinois at Urbana-Champaign,Computer vision,14,846,11,2.9,,Yutao Feng,,,,,,,
552,Zhejiang University,Lin,,Hai,,,Computer graphics,26,3501,1,0.2,"suffix 0003, can't find PhD graduate info,h-index and citations originate from semantic scholar",Xingqiao Li,,,,,,,
552,Zhejiang University,Lin,,Feng,2015,Tennessee Technological University,Mobile computing,17,1510,5,0.8,"suffix 0004,Ph.D. Graduate School not in list",Yutao Feng,,,,,,,
552,Zhejiang University,Liu,,Xinguo,2001,Zhejiang University,Computer graphics,26,2429,10,2.1,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Liu,,Jian,2018,Aalto University,Computer security,10,628,2,0.6,suffix 0012,Xingqiao Li,,,,,,,
552,Zhejiang University,Liu,,Haifeng,2009,University of Toronto,"Artificial intelligence,The Web & information retrieval",34,5101,18,4.1,,Haici Jin,,,,,,,
552,Zhejiang University,Lu,,Weiming,2009,Zhejiang University,Artificial intelligence,12,491,6,1.1,h-index and citations originate from semantic scholar,Yutao Feng,,,,,,,
552,Zhejiang University,Lu,,Dongming,1994,Zhejiang University,Computer vision,5,71,3,0.5,,Xingqiao Li,,,,,,,
552,Zhejiang University,Pan,,Yunhe,1981,Zhejiang University,Artificial intelligence,25,2797,4,1,Master Degree,Xingqiao Li,,,,,,,
